Id,States,Rainfall,Ground Water,Temperature,Soil type,Season,Crops,Fertilisers required,Cost of cultivation,Expected revenues,Quantity of seeds per hectare,Duration of cultivation,Demand of crop,Crops for mixed cropping
152,Karnataka,121.4,22,28,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
153,Madhya Pradesh,235.5,22,28,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
154,Madhya Pradesh,235.5,22,28,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
155,Pudducherry,137.5,12.3,28,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
156,Pudducherry,137.5,12.3,28,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
157,Arunachal Pradesh,325,5,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
158,Arunachal Pradesh,325,5,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
159,Arunachal Pradesh,325,5,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
160,Bihar,125.6,7.5,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
161,Bihar,125.6,7.5,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
162,Bihar,125.6,7.5,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
163,Goa,295,13,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
164,Goa,295,13,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
165,Goa,295,13,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
166,Haryana,47.5,15,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
167,Haryana,47.5,15,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
168,Haryana,47.5,15,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
169,Himachal Pradesh,127.5,22,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
170,Himachal Pradesh,127.5,22,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
171,Himachal Pradesh,127.5,22,30.5,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
172,Karnataka,121.4,22,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
173,Karnataka,121.4,22,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
174,Karnataka,121.4,22,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
175,Manipur,148.8,4,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
176,Manipur,148.8,4,30.5,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
177,Manipur,148.8,4,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
178,Meghalaya,117.5,4,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
179,Meghalaya,117.5,4,30.5,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
180,Meghalaya,117.5,4,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
181,Nagaland,215,18.1,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
182,Nagaland,215,18.1,30.5,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
183,Nagaland,215,18.1,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
184,Sikkim,299.5,50,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
185,Sikkim,299.5,50,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
186,Sikkim,299.5,50,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
187,Sikkim,299.5,50,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
188,Sikkim,299.5,50,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
189,Tamil Nadu,145,16.67,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
190,Tamil Nadu,145,16.67,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
191,Tamil Nadu,145,16.67,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
192,Tripura,238.5,6.7,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
193,Tripura,238.5,6.7,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
194,Tripura,238.5,6.7,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
195,Andaman and Nicobar Island,277,3.5,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
196,Andaman and Nicobar Island,277,3.5,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
197,Andaman and Nicobar Island,277,3.5,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
198,Chandigarh,105.5,28,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
199,Chandigarh,105.5,28,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
200,Chandigarh,105.5,28,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
201,Delhi,90,6.7,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
202,Delhi,90,6.7,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
203,Delhi,90,6.7,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
204,Lakshadweep,30,3.8,30,Latterite,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
205,Lakshadweep,30,3.8,30,Alluvial,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
206,Lakshadweep,30,3.8,30,Red,Kharif,Clove,NPK,"1,90,300","4,38,800",2kg,120-180,Low,"Coffee, Coconut, Arecanut"
207,Arunachal Pradesh,325,5,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
208,Arunachal Pradesh,325,5,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
209,Arunachal Pradesh,325,5,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
210,Goa,295,13,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
211,Goa,295,13,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
212,Goa,295,13,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
213,Gujarat,115.7,35,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
214,Gujarat,115.7,35,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
215,Gujarat,115.7,35,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
216,Maharashtra,246,3.2,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
217,Maharashtra,246,3.2,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
218,Maharashtra,246,3.2,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
219,Manipur,148.8,4,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
220,Manipur,148.8,4,29,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
221,Manipur,148.8,4,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
222,Meghalaya,117.5,4,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
223,Meghalaya,117.5,4,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
224,Meghalaya,117.5,4,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
225,Tamil Nadu,145,16.67,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
226,Tamil Nadu,145,16.67,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
227,Tamil Nadu,145,16.67,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
228,West Bengal,250,9,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
229,West Bengal,250,9,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
230,West Bengal,250,9,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
231,Andaman and Nicobar Island,277,3.5,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
232,Andaman and Nicobar Island,277,3.5,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
233,Andaman and Nicobar Island,277,3.5,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
234,Dadra Nagar Haveli and Daman and Diu,89,2,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
235,Dadra Nagar Haveli and Daman and Diu,89,2,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
236,Dadra Nagar Haveli and Daman and Diu,89,2,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
237,Lakshadweep,30,3.8,28.5,Clayey,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
238,Lakshadweep,30,3.8,28.5,Latterite,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
239,Lakshadweep,30,3.8,28.5,Alluvial,rabi,Banana,NPK,61 592,89485,5000 plants,365-370,Moderate,Tumeric
240,Arunachal Pradesh,325,5,30,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
241,Arunachal Pradesh,325,5,30,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
242,Bihar,125.6,7.5,30,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
243,Bihar,125.6,7.5,30,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
244,Goa,295,13,30,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
245,Goa,295,13,30,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
246,Himachal Pradesh,127.5,22,30,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
247,Himachal Pradesh,127.5,22,30.5,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
248,Jharkhand,121.4,12,30,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
249,Jharkhand,121.4,12,30,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
250,Uttar Pradesh,134.65,6,30,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
251,Uttar Pradesh,134.65,6,30,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
252,Uttarakhand,164.5,7.5,30,Alluvial,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
253,Uttarakhand,164.5,7.5,30,Black,summar,Moong,"Phosphorus,Nitrogen,Rhizobium","5,954","40,000",22kg,60-65,Moderate,Cotton
254,Arunachal Pradesh,325,5,32.5,Black,Kharif,Arhar,"NPK,Rhizobium","40,000","42,700",15kg,120-200,Moderate,"Red gram, Tur Daal"
255,Chhatisgarh,130.4,5,32.5,Black,Kharif,Arhar,"NPK,Rhizobium","40,000","42,700",15kg,120-200,Moderate,"Red gram, Tur Daal"
256,Madhya Pradesh,235.5,22,32.5,Black,Kharif,Arhar,"NPK,Rhizobium","40,000","42,700",15kg,120-200,Moderate,"Red gram, Tur Daal"
257,Punjab,60,8.9,32.5,Black,Kharif,Arhar,"NPK,Rhizobium","40,000","42,700",15kg,120-200,Moderate,"Red gram, Tur Daal"
258,Assam,156.2,1.62,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
259,Assam,156.2,1.62,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
260,Assam,156.2,1.62,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
261,Gujarat,115.7,35,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
262,Gujarat,115.7,35,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
263,Gujarat,115.7,35,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
264,Haryana,47.5,15,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
265,Haryana,47.5,15,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
266,Haryana,47.5,15,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
267,Himachal Pradesh,127.5,22,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
268,Himachal Pradesh,127.5,22,23,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
269,Himachal Pradesh,127.5,22,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
270,Maharashtra,246,3.2,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
271,Maharashtra,246,3.2,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
272,Maharashtra,246,3.2,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
273,Manipur,148.8,4,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
274,Manipur,148.8,4,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
275,Manipur,148.8,4,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
276,Meghalaya,117.5,4,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
277,Meghalaya,117.5,4,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
278,Meghalaya,117.5,4,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
279,Rajasthan,48.8,32,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
280,Rajasthan,48.8,32,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
281,Rajasthan,48.8,32,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
282,Sikkim,299.5,50,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
283,Sikkim,299.5,50,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
284,Sikkim,299.5,50,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
285,Tamil Nadu,145,16.67,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
286,Tamil Nadu,145,16.67,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
287,Tamil Nadu,145,16.67,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
288,West Bengal,250,9,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
289,West Bengal,250,9,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
290,West Bengal,250,9,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
291,Andaman and Nicobar Island,277,3.5,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
292,Andaman and Nicobar Island,277,3.5,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
293,Andaman and Nicobar Island,277,3.5,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
294,Dadra Nagar Haveli and Daman and Diu,89,2,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
295,Dadra Nagar Haveli and Daman and Diu,89,2,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
296,Dadra Nagar Haveli and Daman and Diu,89,2,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
297,Chandigarh,105.5,28,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
298,Chandigarh,105.5,28,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
299,Chandigarh,105.5,28,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
300,Delhi,90,6.7,22.5,Clayey,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
301,Delhi,90,6.7,22.5,Latterite,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
302,Delhi,90,6.7,22.5,Alluvial,winter,Oilseed,"Magnesium, Calcium, Potassium",30448,"38,250",4kg,110-115,High,"Groundnut, Castor, Sesame, Chick pea"
303,Assam,156.2,1.62,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
304,Assam,156.2,1.62,25,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
305,Gujarat,115.7,35,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
306,Gujarat,115.7,35,25,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
307,Karnataka,121.4,22,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
308,Karnataka,121.4,22,25.5,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
309,Maharashtra,246,3.2,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
310,Maharashtra,246,3.2,25.5,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
311,Nagaland,215,18.1,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
312,Nagaland,215,18.1,25.5,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
313,Rajasthan,48.8,32,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
314,Rajasthan,48.8,32,25,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
315,Tripura,238.5,6.7,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
316,Tripura,238.5,6.7,25,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
317,West Bengal,250,9,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
318,West Bengal,250,9,25,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
319,Dadra Nagar Haveli and Daman and Diu,89,2,25,Clayey,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
320,Dadra Nagar Haveli and Daman and Diu,89,2,25,Red,Kharif,Tea,"UT 752,Dolomite","5,023",353763,1650kg,60-65,High,"Cocoa, Coffee, Rubber"
321,Assam,156.2,1.62,21.5,Black,Kharif,Coffee,"Nitrogen,Ammonium Nitrate",442513,"2, 49,600",4500 seeds,240-270,Moderate,"Arecanut, Orange, Cardamom, Pepper, Oil palm"
322,Goa,295,13,21.5,Black,Kharif,Coffee,"Nitrogen,Ammonium Nitrate",442513,"2, 49,600",4500 seeds,240-270,Moderate,"Arecanut, Orange, Cardamom, Pepper, Oil palm"
323,Kerela,315.7,20,21.5,Black,Kharif,Coffee,"Nitrogen,Ammonium Nitrate",442513,"2, 49,600",4500 seeds,240-270,Moderate,"Arecanut, Orange, Cardamom, Pepper, Oil palm"
324,Madhya Pradesh,235.5,22,21.5,Black,Kharif,Coffee,"Nitrogen,Ammonium Nitrate",442513,"2, 49,600",4500 seeds,240-270,Moderate,"Arecanut, Orange, Cardamom, Pepper, Oil palm"
